Continent_Name,Continent_Code,Country_Name,Three_Letter_Country_Code,pop2010
Asia,AS,Georgia,GEO,3786695.0
Africa,AF,"Gambia, Republic of the",GMB,1793199.0
Asia,AS,"Palestinian Territory, Occupied",PSE,3786161.0
Europe,EU,"Germany, Federal Republic of",DEU,81776930.0
Africa,AF,"Ghana, Republic of",GHA,24779614.0
Europe,EU,Gibraltar,GIB,33585.0
Oceania,OC,"Kiribati, Republic of",KIR,102930.0
Europe,EU,"Greece, Hellenic Republic",GRC,11121341.0
North America,,Greenland,GRL,56905.0
North America,,Grenada,GRD,106227.0
Oceania,OC,Guam,GUM,159439.0
North America,,"Guatemala, Republic of",GTM,14259687.0
Africa,AF,"Guinea, Republic of",GIN,10192168.0
South America,SA,"Guyana, Co-operative Republic of",GUY,749430.0
North America,,"Haiti, Republic of",HTI,9949318.0
North America,,"Honduras, Republic of",HND,8317467.0
Asia,AS,"Hong Kong, Special Administrative Region of China",HKG,7024200.0
Europe,EU,"Hungary, Republic of",HUN,10000023.0
Europe,EU,"Iceland, Republic of",ISL,318041.0
